
from	to	edge_flow
GSM1278015_16cell_split2a	t	4.361772610048471
GSM1278012_16cell_2pooled_split8b	GSM1278015_16cell_split2a	0.4
GSM1278027_8cell_2pooled_split5b	GSM1278015_16cell_split2a	0.15154360644346623
GSM1278020_8cell_12-4_smartseq2	GSM1278015_16cell_split2a	0.24515599343185548
GSM1278035_8cell_split4b	GSM1278015_16cell_split2a	0.285714285714286
GSM1278017_8cell_12-1_smartseq2	GSM1278015_16cell_split2a	0.02570095828386304
GSM1278019_8cell_12-3_smartseq2	GSM1278015_16cell_split2a	0.7193732193732192
GSM1278018_8cell_12-2_smartseq2	GSM1278015_16cell_split2a	0.22538185529039484
GSM1278030_8cell_2pooled_split9a	GSM1278015_16cell_split2a	0.06159420289854994
GSM1278026_8cell_2pooled_split5a	GSM1278015_16cell_split2a	0.75
GSM1278031_8cell_2pooled_split9b	GSM1278015_16cell_split2a	0.285714285714286
GSM1278025_8cell_14-4_smartseq2	GSM1278015_16cell_split2a	0.4
GSM1278010_16cell_2pooled_split6b	GSM1278012_16cell_2pooled_split8b	0.185185185185185
GSM1278009_16cell_2pooled_split6a	GSM1278012_16cell_2pooled_split8b	0.185185185185185
GSM1278012_16cell_2pooled_split8b	GSM1278025_8cell_14-4_smartseq2	0.4
GSM1278013_16cell_split1a	GSM1278012_16cell_2pooled_split8b	0.185185185185185
GSM1278012_16cell_2pooled_split8b	GSM1278030_8cell_2pooled_split9a	0.478260869565217
GSM1278016_16cell_split2b	GSM1278012_16cell_2pooled_split8b	0.185185185185185
GSM1278012_16cell_2pooled_split8b	GSM1278026_8cell_2pooled_split5a	0.478260869565217
GSM1278014_16cell_split1b	GSM1278012_16cell_2pooled_split8b	0.185185185185185
GSM1278011_16cell_2pooled_split8a	GSM1278012_16cell_2pooled_split8b	0.684210526315789
GSM1278012_16cell_2pooled_split8b	GSM1278019_8cell_12-3_smartseq2	0.423076923076923
GSM1112530_16cell_6-11	GSM1278010_16cell_2pooled_split6b	0.26147665543950327
GSM1278010_16cell_2pooled_split6b	GSM1278011_16cell_2pooled_split8a	0.25
GSM1112534_16cell_6-4	GSM1278010_16cell_2pooled_split6b	0.10447125910578078
GSM1112538_16cell_6-8	GSM1278010_16cell_2pooled_split6b	0.07585102725365692
GSM1112531_16cell_6-12	GSM1278010_16cell_2pooled_split6b	0.428571428571429
GSM1112522_16cell_5-4	GSM1112530_16cell_6-11	0.0666666666666667
GSM1112530_16cell_6-11	GSM1278009_16cell_2pooled_split6a	0.357142857142857
GSM1112505_16cell_4-10	GSM1112530_16cell_6-11	0.02383700187692931
GSM1112535_16cell_6-5	GSM1112530_16cell_6-11	0.2634099616858233
GSM1112510_16cell_4-5	GSM1112530_16cell_6-11	0.264705882352941
GSM1112507_16cell_4-2	GSM1112522_16cell_5-4	0.0666666666666667
GSM1112606_early2cell_1-2	GSM1112507_16cell_4-2	0.0555555555555556
GSM1112507_16cell_4-2	GSM1112505_16cell_4-10	0.02383700187692931
GSM1112603_early2cell_0r-1	GSM1112507_16cell_4-2	0.0512820512820513
GSM1112604_early2cell_0r-2	GSM1112507_16cell_4-2	0.0526315789473684
GSM1112507_16cell_4-2	GSM1112535_16cell_6-5	0.0689655172413793
GSM1112767_zy2	GSM1112606_early2cell_1-2	0.19242512491151487
GSM1112606_early2cell_1-2	GSM1112702_mid2cell_6-1	0.13686956935595926
s	GSM1112767_zy2	4.361772610048471
GSM1112767_zy2	GSM1112603_early2cell_0r-1	0.740740740740741
GSM1112767_zy2	GSM1112604_early2cell_0r-2	0.769230769230769
GSM1112767_zy2	GSM1112702_mid2cell_6-1	0.324324324324324
GSM1112767_zy2	GSM1112704_mid2cell_7-1	0.297297297297297
GSM1112767_zy2	GSM1112769_zy4	0.6216216216216208
GSM1112767_zy2	GSM1112768_zy3	0.621621621621621
GSM1112767_zy2	GSM1112605_early2cell_1-1	0.621621621621621
GSM1278009_16cell_2pooled_split6a	GSM1278011_16cell_2pooled_split8a	0.25
GSM1112531_16cell_6-12	GSM1278009_16cell_2pooled_split6a	0.03343590843590799
GSM1112536_16cell_6-6	GSM1278009_16cell_2pooled_split6a	0.07979160479160494
GSM1112534_16cell_6-4	GSM1278009_16cell_2pooled_split6a	0.4
GSM1112603_early2cell_0r-1	GSM1112704_mid2cell_7-1	0.394736842105263
GSM1112603_early2cell_0r-1	GSM1112702_mid2cell_6-1	0.421052631578947
GSM1112604_early2cell_0r-2	GSM1112704_mid2cell_7-1	0.368421052631579
GSM1112604_early2cell_0r-2	GSM1112702_mid2cell_6-1	0.394736842105263
GSM1278011_16cell_2pooled_split8a	GSM1278027_8cell_2pooled_split5b	0.15154360644346623
GSM1278016_16cell_split2b	GSM1278011_16cell_2pooled_split8a	0.25
GSM1278011_16cell_2pooled_split8a	GSM1278035_8cell_split4b	0.285714285714286
GSM1278011_16cell_2pooled_split8a	GSM1278017_8cell_12-1_smartseq2	0.02570095828386304
GSM1278011_16cell_2pooled_split8a	GSM1278019_8cell_12-3_smartseq2	0.296296296296296
GSM1278014_16cell_split1b	GSM1278011_16cell_2pooled_split8a	0.25
GSM1278011_16cell_2pooled_split8a	GSM1278018_8cell_12-2_smartseq2	0.22538185529039484
GSM1278011_16cell_2pooled_split8a	GSM1278030_8cell_2pooled_split9a	0.333333333333333
GSM1278011_16cell_2pooled_split8a	GSM1278026_8cell_2pooled_split5a	0.333333333333333
GSM1112538_16cell_6-8	GSM1278011_16cell_2pooled_split8a	0.135135135135135
GSM1278011_16cell_2pooled_split8a	GSM1278031_8cell_2pooled_split9b	0.285714285714286
GSM1278013_16cell_split1a	GSM1278011_16cell_2pooled_split8a	0.25
GSM1112521_16cell_5-3	GSM1278016_16cell_split2b	0.0024051206793106183
GSM1112534_16cell_6-4	GSM1278016_16cell_split2b	0.3034697196782884
GSM1112531_16cell_6-12	GSM1278016_16cell_split2b	0.379310344827586
GSM1112513_16cell_4-8	GSM1112521_16cell_5-3	0.08382274520038363
GSM1112521_16cell_5-3	GSM1278013_16cell_split1a	0.275862068965517
GSM1112495_16cell_1-15	GSM1112521_16cell_5-3	0.194444444444444
GSM1112495_16cell_1-15	GSM1112513_16cell_4-8	0.08382274520038363
GSM1112574_8cell_5-8	GSM1112495_16cell_1-15	0.15978681944031925
GSM1112495_16cell_1-15	GSM1112506_16cell_4-11	0.1209135691894313
GSM1112495_16cell_1-15	GSM1112529_16cell_6-10	0.0333333333333333
GSM1112567_8cell_2-8	GSM1112574_8cell_5-8	0.0024051206793106183
GSM1112574_8cell_5-8	GSM1112506_16cell_4-11	0.0909090909090909
GSM1112562_8cell_2-2	GSM1112574_8cell_5-8	0.333333333333333
GSM1112574_8cell_5-8	GSM1112492_16cell_1-12	0.14564860426929344
GSM1112562_8cell_2-2	GSM1112567_8cell_2-8	0.029604621841026107
GSM1112567_8cell_2-8	GSM1112492_16cell_1-12	0.02719950116171549
GSM1112540_4cell_1-1	GSM1112562_8cell_2-2	0.0024051206793106183
GSM1112551_4cell_4-2	GSM1112562_8cell_2-2	0.323529411764706
GSM1112552_4cell_4-3	GSM1112562_8cell_2-2	0.323529411764706
GSM1112544_4cell_2-2	GSM1112562_8cell_2-2	0.4
GSM1112548_4cell_3-3	GSM1112562_8cell_2-2	0.35430192179539544
GSM1112562_8cell_2-2	GSM1112570_8cell_5-3	0.10580333469355307
GSM1112562_8cell_2-2	GSM1112493_16cell_1-13	0.325
GSM1112546_4cell_2-4	GSM1112562_8cell_2-2	0.39809713800585944
GSM1112562_8cell_2-2	GSM1112581_8cell_8-8	0.291666666666667
GSM1112549_4cell_3-4	GSM1112562_8cell_2-2	0.011755590964517504
GSM1112543_4cell_2-1	GSM1112562_8cell_2-2	0.0453602966787543
GSM1112547_4cell_3-1	GSM1112562_8cell_2-2	0.4
GSM1112562_8cell_2-2	GSM1112573_8cell_5-7	0.388888888888889
GSM1112542_4cell_1-4	GSM1112562_8cell_2-2	0.363636363636364
GSM1112562_8cell_2-2	GSM1112575_8cell_8-1	0.13919413919414003
GSM1112541_4cell_1-2	GSM1112562_8cell_2-2	0.363636363636364
GSM1112545_4cell_2-3	GSM1112562_8cell_2-2	0.375
GSM1112562_8cell_2-2	GSM1112580_8cell_8-7	0.114754098360656
GSM1112552_4cell_4-3	GSM1112540_4cell_1-1	0.0024051206793106183
GSM1112655_late2cell_5-2	GSM1112552_4cell_4-3	0.11565744814383824
GSM1112662_late2cell_9-1	GSM1112552_4cell_4-3	0.310344827586207
GSM1112552_4cell_4-3	GSM1112548_4cell_3-3	0.11325232746452762
GSM1112552_4cell_4-3	GSM1112546_4cell_2-4	0.297160243407708
GSM1112661_late2cell_8-2	GSM1112655_late2cell_5-2	0.3031318216062533
GSM1112655_late2cell_5-2	GSM1112550_4cell_4-1	0.346153846153846
GSM1112655_late2cell_5-2	GSM1112551_4cell_4-2	0.029149449657613957
GSM1112660_late2cell_8-1	GSM1112655_late2cell_5-2	0.21255419707431994
GSM1112702_mid2cell_6-1	GSM1112661_late2cell_8-2	0.2365873563802446
GSM1112661_late2cell_8-2	GSM1112654_late2cell_5-1	0.06657241789087531
GSM1112702_mid2cell_6-1	GSM1112660_late2cell_8-1	0.411764705882353
GSM1112769_zy4	GSM1112702_mid2cell_6-1	0.324324324324324
GSM1112702_mid2cell_6-1	GSM1112654_late2cell_5-1	0.382352941176471
GSM1112768_zy3	GSM1112702_mid2cell_6-1	0.324324324324324
GSM1112605_early2cell_1-1	GSM1112702_mid2cell_6-1	0.324324324324324
GSM1112702_mid2cell_6-1	GSM1112658_late2cell_7-1	0.382352941176471
GSM1112702_mid2cell_6-1	GSM1112657_late2cell_6-2	0.382352941176471
GSM1112569_8cell_5-2	GSM1112535_16cell_6-5	0.194444444444444
GSM1278032_8cell_split3a	GSM1278020_8cell_12-4_smartseq2	0.1761904761904761
GSM1278033_8cell_split3b	GSM1278020_8cell_12-4_smartseq2	0.0689655172413794
GSM1112506_16cell_4-11	GSM1278032_8cell_split3a	0.0714285714285714
GSM1112529_16cell_6-10	GSM1278032_8cell_split3a	0.0333333333333333
GSM1112506_16cell_4-11	GSM1278033_8cell_split3b	0.0344827586206897
GSM1112662_late2cell_9-1	GSM1112551_4cell_4-2	0.310344827586207
GSM1112551_4cell_4-2	GSM1112543_4cell_2-1	0.029149449657613957
GSM1112551_4cell_4-2	GSM1112546_4cell_2-4	0.09844771710897426
GSM1112551_4cell_4-2	GSM1112542_4cell_1-4	0.063025210084033
GSM1112551_4cell_4-2	GSM1112544_4cell_2-2	0.13568731621470076
GSM1112660_late2cell_8-1	GSM1112662_late2cell_9-1	0.428571428571429
GSM1112662_late2cell_9-1	GSM1112545_4cell_2-3	0.233333333333333
GSM1112654_late2cell_5-1	GSM1112662_late2cell_9-1	0.3984203085622963
GSM1112662_late2cell_9-1	GSM1112553_4cell_4-4	0.321428571428571
GSM1112657_late2cell_6-2	GSM1112662_late2cell_9-1	0.444444444444444
GSM1112658_late2cell_7-1	GSM1112662_late2cell_9-1	0.33184789067142106
GSM1112662_late2cell_9-1	GSM1112550_4cell_4-1	0.357142857142857
GSM1112662_late2cell_9-1	GSM1112542_4cell_1-4	0.266666666666667
GSM1112662_late2cell_9-1	GSM1112541_4cell_1-2	0.266666666666667
GSM1112704_mid2cell_7-1	GSM1112660_late2cell_8-1	0.424242424242424
GSM1112704_mid2cell_7-1	GSM1112657_late2cell_6-2	0.11259655377302294
GSM1112769_zy4	GSM1112704_mid2cell_7-1	0.297297297297297
GSM1112768_zy3	GSM1112704_mid2cell_7-1	0.297297297297297
GSM1112704_mid2cell_7-1	GSM1112658_late2cell_7-1	0.393939393939394
GSM1112704_mid2cell_7-1	GSM1112654_late2cell_5-1	0.393939393939394
GSM1112605_early2cell_1-1	GSM1112704_mid2cell_7-1	0.297297297297297
GSM1112527_16cell_5-9	GSM1112534_16cell_6-4	0.11735471582938617
GSM1112518_16cell_5-12	GSM1112534_16cell_6-4	0.3405862629546831
GSM1112580_8cell_8-7	GSM1112527_16cell_5-9	0.23099107946575015
GSM1112581_8cell_8-8	GSM1112580_8cell_8-7	0.551020408163265
GSM1112580_8cell_8-7	GSM1112518_16cell_5-12	0.228070175438596
GSM1112580_8cell_8-7	GSM1112512_16cell_4-7	0.180327868852459
GSM1112580_8cell_8-7	GSM1112509_16cell_4-4	0.160714285714286
GSM1112561_8cell_2-1	GSM1112581_8cell_8-8	0.20052566481137812
GSM1112548_4cell_3-3	GSM1112561_8cell_2-1	0.14688021779249216
GSM1112543_4cell_2-1	GSM1112561_8cell_2-1	0.05036157086973497
GSM1112561_8cell_2-1	GSM1112558_8cell_1-6	0.179487179487179
GSM1112545_4cell_2-3	GSM1112561_8cell_2-1	0.212121212121212
GSM1112547_4cell_3-1	GSM1112561_8cell_2-1	0.225806451612903
GSM1112561_8cell_2-1	GSM1112579_8cell_8-6	0.142857142857143
GSM1112542_4cell_1-4	GSM1112561_8cell_2-1	0.205882352941176
GSM1112550_4cell_4-1	GSM1112548_4cell_3-3	0.38792981212336
GSM1112545_4cell_2-3	GSM1112543_4cell_2-1	0.021212121212121016
GSM1112553_4cell_4-4	GSM1112543_4cell_2-1	0.0453602966787543
GSM1112550_4cell_4-1	GSM1112545_4cell_2-3	0.375
GSM1112553_4cell_4-4	GSM1112544_4cell_2-2	0.2643126837852992
GSM1112553_4cell_4-4	GSM1112549_4cell_3-4	0.011755590964517504
GSM1112553_4cell_4-4	GSM1112547_4cell_3-1	0.321428571428571
GSM1112504_16cell_4-1	GSM1112531_16cell_6-12	0.22564154057738706
GSM1112509_16cell_4-4	GSM1112531_16cell_6-12	0.3128266196580149
GSM1112508_16cell_4-3	GSM1112531_16cell_6-12	0.243243243243243
GSM1112531_16cell_6-12	GSM1278014_16cell_split1b	0.428571428571429
GSM1112531_16cell_6-12	GSM1278013_16cell_split1a	0.23991402116402097
GSM1112510_16cell_4-5	GSM1112504_16cell_4-1	0.06655063148647805
GSM1112569_8cell_5-2	GSM1112504_16cell_4-1	0.159090909090909
GSM1112492_16cell_1-12	GSM1112510_16cell_4-5	0.02570095828386304
GSM1112569_8cell_5-2	GSM1112510_16cell_4-5	0.305555555555556
GSM1112492_16cell_1-12	GSM1112508_16cell_4-3	0.222222222222222
GSM1112573_8cell_5-7	GSM1112492_16cell_1-12	0.0750750750750761
GSM1112550_4cell_4-1	GSM1112547_4cell_3-1	0.30437788018433204
GSM1112550_4cell_4-1	GSM1112542_4cell_1-4	0.23982683982683997
GSM1112550_4cell_4-1	GSM1112546_4cell_2-4	0.002489177489177097
GSM1112550_4cell_4-1	GSM1112541_4cell_1-2	0.09696969696969696
GSM1112538_16cell_6-8	GSM1278014_16cell_split1b	0.25661375661375607
GSM1112519_16cell_5-13	GSM1112538_16cell_6-8	0.461538461538462
GSM1112512_16cell_4-7	GSM1112538_16cell_6-8	0.360655737704918
GSM1112538_16cell_6-8	GSM1278013_16cell_split1a	0.35459428024083206
