"","P02004.LIF14","P02005.LIF16","P02010.LIF20","P02011.LIF22"
"Xkr4",179.761539406966,252.656611455153,148.097510288223,213.318576841015
"Gm37381",7.33720569008024,9.39243908755215,19.509851654736,24.4159816866221
"Rp1",40.3546312954413,40.3874880764742,38.1328918706203,19.2757750157543
"Sox17",15.5915620914205,17.8456342663491,25.7175317266974,19.2757750157543
"Gm7357",3060.53192347472,484.649856917691,1648.58246482519,1301.75733939728
"Gm6085",3539.28459475245,3672.44368323289,3398.26143367947,4026.06687495722
"Gm6119",75.2063583233224,77.0180005179276,67.3976693527243,53.9721700441121
"Gm2053",47.6918369855215,45.0837076202503,55.869120647653,56.542273379546
"Gm6123",2218.58757053801,2937.95494658631,3686.47515130625,2933.77295739781
"Mrpl15",4846.224358298,5439.16147560145,4659.30729972649,2870.80542567968
"Gm37988",29.3488227603209,60.1116101603338,39.9065147483236,23.1309300189052
"Tcea1",4261.0822045141,3697.80326876928,2842.23066151949,3968.23954990996
"Gm37277",9.1715071126003,6.5747073612865,23.0570974101425,5.14020667086782
"Rgs20",61.449097654422,340.945538878143,379.5552958285,100.234030081922
"Atp6v1h",2889.94189118035,3047.84648391067,2576.187229864,3885.99624317607
"Gm37567",3.66860284504012,4.69621954377607,4.43405719425818,5.14020667086782
"Oprk1",9.1715071126003,21.6026099013699,38.1328918706203,21.8458783511882
"Rb1cc1",1804.95259975974,1599.53237661013,1531.52335489677,1678.27747803834
"Alkal1",88.9636189922229,76.0787566091724,60.3031778419112,79.6732033984512
"Gm19026",553.041878889798,462.108003107566,574.65381237586,643.810885526195
"St18",33.0174256053611,30.9950489889221,37.2460804317687,24.4159816866221
"Gm37108",1657.29133524687,1647.43381595665,1610.44957295457,1986.68987829041
"Gm5694",8.25435640134027,7.51395127004172,1.77362287770327,16.7056716803204
"Pcmtd1",1833.3842718088,1532.84605908851,1966.06095993408,1472.66921120363
"Gm9826",2416.69212417018,2783.91894555046,2371.33378748927,1601.17437797533
"Nras-ps2",100.886578238603,95.8028786930319,148.984321727075,134.93042511028
