"","P02004.LIF14","P02005.LIF16","P02008.LIF09"
"Xkr4",180.949756600278,256.032958302165,224.388456683215
"Gm37381",7.38570435103174,9.51795384022918,12.3413651175768
"Rp1",40.6213739306746,40.9272015129855,16.8291342512411
"Sox17",15.6946217459425,18.0841122964354,14.585249684409
"Gm7357",3080.76192742412,491.126418155826,1695.25479024169
"Gm6085",3562.67913632894,3721.51995152961,4110.7965264365
"Gm6119",75.7034695980753,78.0472214898793,50.4874027537234
"Gm2053",48.0070782817063,45.6861784331001,53.8532296039716
"Gm6123",2233.25235314322,2977.21596122369,1907.30188180733
"Mrpl15",4878.25772385647,5511.84706887672,3056.17078002539
"Gm37988",29.542817404127,60.9149045774668,20.1949611014894
"Tcea1",4289.24780186168,3747.21842689823,3288.41283269252
"Gm37277",9.23213043878968,6.66256768816043,3.36582685024823
"Rgs20",61.8552739398908,345.501724400319,173.901053929492
"Atp6v1h",2909.04430126263,3088.57602115437,5151.95896544662
"Gm37567",3.69285217551587,4.75897692011459,0
"Oprk1",9.23213043878968,21.8912938325271,23.5607879517376
"Rb1cc1",1816.88327035381,1620.90753899103,1391.20843143593
"Alkal1",89.5516652562599,77.0954261058564,71.8043061386288
"Gm19026",556.697465459018,468.283328939276,537.4103537563
"St18",33.2356695796428,31.4092476727563,15.7071919678251
"Gm37108",1668.24597028929,1669.4491035762,2248.37233596581
"Gm5694",8.30891739491071,7.61436307218335,11.2194228341608
"Pcmtd1",1845.50287471406,1553.3300667254,1931.98461204248
"Gm9826",2432.66637062108,2821.12151824393,1655.98681032213
"Nras-ps2",101.553434826686,97.0831291703377,80.7798444059574
"Gm26901",82.1659609052281,107.55287839459,56.0971141708038
"Gm30414",9.23213043878968,8.56615845620627,7.85359598391253
"Gm7470",68.3177652470436,64.7220861135584,39.2679799195626
"Rps2-ps2",0,0.951795384022918,3.36582685024823
"Sntg1",2384.65929233937,2584.12446762222,1503.40265977754
"Gm6187",103.399860914444,224.623710629409,158.193861961667
"Gm7512",266.808569681022,232.238073701592,203.07155329831
"Rrs1",2536.06623153552,3469.29417476354,1500.03683292729
"Adhfe1",19.3874739214583,15.2287261443667,117.803939758688
"2610203C22Rik",0.923213043878968,0.951795384022918,1.12194228341608
"Mybl1",842.893509061498,669.112154968112,2330.27412265519
"Vcpip1",2019.99014000718,1863.61536191687,1174.67357073663
"1700034P13Rik",49.8535043694643,78.9990168739022,62.8287678713002
"Sgk3",270.501421856538,276.020661366646,250.193129201785
"Mcmdc2",168.024773985972,110.408264546659,80.7798444059574
"Snhg6",934.291600405515,909.91638712591,2267.44535478389
"Tcf24",122.787334835903,94.2277430182689,228.876225816879
"Ppp1r42",5.53927826327381,12.3733399922979,10.0974805507447
"Cops5",2604.38399678257,2894.40976281369,3679.97068960473
"Cspp1",2296.95405317087,1540.00493134908,2529.97984910325
"Arfgef1",3109.38153178436,1788.42352657906,4348.64829052071
"Cpa6",31.3892434918849,40.9272015129855,22.4388456683215
"Gm5522",4.61606521939484,3.80718153609167,3.36582685024823
"Gm28659",12.0017695704266,14.2769307603438,19.0730188180733
"Prex2",339.74240014746,270.309889062509,238.973706367624
"A830018L16Rik",2064.30436611337,3887.1323483496,2615.24746264287
"Gm7560",159.715856591061,89.4687660981543,60.5848833044681
"Gm2383",84.935600036865,131.347762995163,106.584516924527
"Gm17644",0.923213043878968,1.90359076804584,1.12194228341608
