"","P02004.LIF14","P02005.LIF16","P02006.LIF17","P02007.LIF25"
"Xkr4",208.402499842955,291.757208777924,202.182919778688,316.255662488957
"Gm37381",8.50622448338592,10.8459928913727,13.5997479671763,10.3845142906822
"Rp1",46.7842346586226,46.6377694329024,27.1994959343526,33.0416363794433
"Sox17",18.0757270271951,20.607386493608,15.4130476961332,10.3845142906822
"Gm7357",3548.15888763235,559.653233194829,2987.4113034564,901.564649781953
"Gm6085",4103.19003517328,4240.78322052671,4121.6302839189,3397.62426656047
"Gm6119",87.1888009547057,88.9371417092558,104.264734415018,75.5237402958704
"Gm2053",55.2904591420085,52.0607658785887,53.4923420042268,50.9785246997125
"Gm6123",2572.06962816382,3392.62657642137,2468.80758097474,2656.54756490724
"Mrpl15",5618.3612712764,6280.9144833939,7061.89579442242,5354.63318697721
"Gm37988",34.0248979335437,69.414354504785,29.9194455277879,64.1951792514898
"Tcea1",4939.98986872637,4270.06740133341,4907.69571642169,3618.53120692589
"Gm37277",10.6327806042324,7.59219502396086,13.5997479671763,8.49642078328542
"Rgs20",71.2396300483571,393.709541956827,88.8516867188852,255.836670252261
"Atp6v1h",3350.38916839363,3519.52469325043,3502.38842648014,3460.87539905826
"Gm37567",4.25311224169296,5.42299644568633,0.906649864478421,2.83214026109514
"Oprk1",10.6327806042324,24.9457836501571,18.1329972895684,101.957049399425
"Rb1cc1",2092.53122291294,1847.07258940076,2112.49418423472,1906.03039571703
"Alkal1",103.137971861054,87.8525424201185,101.544784821583,81.1880208180607
"Gm19026",641.156670435214,533.622850255535,629.215005948024,590.029221061487
"St18",38.2780101752366,35.7917765415298,30.8260953922663,45.3142441775222
"Gm37108",1921.34345518479,1902.38715314676,1803.32658044758,1558.62119035602
"Gm5694",9.56950254380916,8.67679431309812,7.25319891582737,5.66428052219028
"Pcmtd1",2125.49284278606,1770.06603987202,2652.85750346386,3001.12463000715
"Gm9826",2801.73768921524,3214.75229300285,2311.95715441997,2343.12404267938
"Nras-ps2",116.960586646556,110.629127492001,99.7314850926263,102.901096153123
"Gm26901",94.6317473776683,122.559719672511,55.3056417331837,168.040322158312
"Gm30414",10.6327806042324,9.76139360223539,11.7864482382195,13.2166545517773
"Gm7470",78.6825764713197,73.752751661334,95.1982357702342,85.9082545865525
"Rps2-ps2",0,1.08459928913727,1.81329972895684,2.83214026109514
"Sntg1",2746.44723007323,2944.68707000768,1835.9659755688,3792.23580960639
"Gm6187",119.087142767403,255.965432236395,177.70337343777,273.77355857253
"Gm7512",307.287359462316,264.642226549493,430.65868562725,362.513953420178
"Rrs1",2920.82483198264,3953.36440890533,2196.81262163121,2295.92170499446
"Adhfe1",22.328839268888,17.3535886261962,53.4923420042268,48.1463844386174
"2610203C22Rik",1.06327806042324,1.08459928913727,0.906649864478421,2.83214026109514
"Mybl1",970.772869166418,762.473300263498,1042.64734415018,1231.03696682269
"Vcpip1",2326.45239620605,2123.64540813077,1913.93786391395,2102.39212048629
"1700034P13Rik",57.417015262855,90.021740998393,39.8925940370505,53.8106649608076
"Sgk3",311.540471704009,314.533793849807,259.301861240828,299.262820922386
"Mcmdc2",193.51660699703,125.813517539923,235.728964764389,144.439153315852
"Snhg6",1076.03739714832,1036.87692041523,943.822508922036,863.802779634017
"Tcf24",141.415982036291,107.375329624589,220.315917068256,187.865303985978
"Ppp1r42",6.37966836253944,14.0997907587845,4.5332493223921,11.3285610443806
"Cops5",2999.50740845396,3298.26643826642,2766.18873652366,2691.47729479408
"Cspp1",2645.43581433302,1754.8816498241,2349.12979886359,2595.18452591685
"Arfgef1",3581.12050750547,2037.96206428892,3234.92671645901,2771.72126885844
"Cpa6",36.1514540543902,46.6377694329024,28.1061457988311,49.0904311923157
"Gm5522",5.3163903021162,4.33839715654906,8.15984878030579,4.7202337684919
"Gm28659",13.8226147855021,16.268989337059,14.5063978316547,19.824981827666
"Prex2",391.286326235752,308.026198114983,280.154808123832,363.458000173876
"A830018L16Rik",2377.48974310636,4429.50349683659,2079.8547891135,4035.79987206057
"Gm7560",183.947104453221,101.952333178903,186.769872082555,82.132067571759
"Gm2383",97.8215815589381,149.674701900943,107.891333872932,115.173703951202
"Gm17644",1.06327806042324,2.16919857827453,2.71994959343526,2.83214026109514
"Sulf1",1205.75732051995,2373.10324463234,578.442613537233,1635.08897740559
"Slco5a1",1235.5291062118,326.464386030317,1531.33162110405,471.079330095491
"Gm5250",11.6960586646556,5.42299644568633,10.8797983737411,2.83214026109514
"Gm29283",64.8599616858176,8.67679431309812,92.4782861767989,28.3214026109514
"Prdm14",1040.94922115435,93.2755388658048,1412.56048885738,196.361724769263
"Ncoa2",3514.13398969881,2002.17028774739,3415.35003949021,2755.67247404557
"Gm29570",11.6960586646556,9.76139360223539,9.06649864478421,3.77618701479352
"Gm7593",6.37966836253944,6.50759573482359,6.34654905134895,2.83214026109514
"Tram1",2220.12459016372,1912.148546749,2098.89443626754,1675.68298781462
"Lactb2",2875.10387538444,1778.74283418512,3742.65064056692,2858.57357019869
"Xkr9",2.12655612084648,1.08459928913727,6.34654905134895,0.94404675369838
"Gm5523",261.566402864117,363.340761860984,275.62155880144,280.381885848419
"Eya1",35.0881759939669,75.9219502396086,37.1726444436153,91.5725351087428
"Gm9947",13.8226147855021,2.16919857827453,19.9462970185253,6.60832727588866
"Gm37412",2.12655612084648,2.16919857827453,3.62659945791368,0.94404675369838
"Smt3h2-ps4",1073.91084102747,1476.13963251582,1082.53993818723,1272.57502398542
"Rpl5-ps1",10923.0555147279,11408.8999224349,13233.461421927,11014.193475399
"Trpa1",91.4419131963986,61.8221594808241,54.3989918687053,43.4261506701255
"Gm10566",1762.91502418173,2427.3332090892,1651.0094032152,1770.08766318446
"Kcnb2",43.5944004773528,43.3839715654906,33.5460449857016,34.92972988684
"Gm6060",6.37966836253944,5.42299644568633,7.25319891582737,3.77618701479352
"Terf1",3139.86011242983,3913.23423520725,3569.48051645154,4281.25202802215
"Gm37509",7.44294642296268,5.42299644568633,14.5063978316547,1.88809350739676
"Sbspon",404.045662960831,787.419083913655,341.806998908365,725.027906840356
"Gm7634",0,0,0.906649864478421,0.94404675369838
"4930444P10Rik",15.9491709063486,4.33839715654906,9.97314850926263,12.2726077980789
"Rpl7",20106.5881226035,21156.1937339115,21217.420128524,18815.7958479624
"Rdh10",534.82886439289,342.733375367376,382.606242809894,371.954420957162
"Stau2",820.850662646741,460.954697883338,722.599941989301,647.616073037088
"Ube2w",1417.34965454418,938.178385103735,1259.33666176053,990.3050446296
"Gm38342",6.37966836253944,6.50759573482359,4.5332493223921,0
"Eloc",3102.64538031501,3480.47911884148,2753.49563842096,2286.48123745748
"D030040B21Rik",1.06327806042324,2.16919857827453,0.906649864478421,1.88809350739676
"Gm7654",11.6960586646556,8.67679431309812,1.81329972895684,6.60832727588866
"Tmem70",955.886976320493,899.132810694793,1145.09877883625,774.118338032671
"Ly96",29.7717856918507,39.0455744089416,18.1329972895684,25.4892623498563
"Gm29649",81.8724106525895,67.2451559265105,88.8516867188852,69.8594597736801
"Gm5828",818.724106525895,620.390793386516,844.09102382941,695.762457475706
"Gm28376",397.665994598292,623.644591253928,281.968107852789,433.317459947556
"Jph1",27.6452295710042,36.876375830667,29.0127956633095,76.4677870495688
"Gdap1",5.3163903021162,3.2537978674118,4.5332493223921,8.49642078328542
"Gm5251",240.300841655652,310.195396693258,254.768611918436,202.970052045152
"Rbm6-ps1",1604.48659317867,1577.00736640558,1583.01066337932,1389.63682144401
"Gm6075",10.6327806042324,24.9457836501571,18.1329972895684,22.6571220887611
"Gm16070",20.2022831480416,22.7765850718826,10.8797983737411,15.1047480591741
"Crispld1",9.56950254380916,8.67679431309812,3.62659945791368,14.1607013054757
"Gm28153",12.7593367250789,42.2993722763534,19.9462970185253,25.4892623498563
"Gm7690",286.021798253852,326.464386030317,522.23032193957,473.911470356587
"Gm28756",0,4.33839715654906,5.43989918687053,2.83214026109514
"Crisp4",2.12655612084648,4.33839715654906,2.71994959343526,0.94404675369838
"Defb44-ps",3.18983418126972,1.08459928913727,1.81329972895684,0.94404675369838
"Defb41",15.9491709063486,36.876375830667,21.7595967474821,24.5452155961579
"Gm5252",263.692958984963,376.355953330631,217.595967474821,288.878306631704
"Gm15825",2.12655612084648,3.2537978674118,4.5332493223921,2.83214026109514
"Tfap2d",274.325739589196,424.078322052671,304.634354464749,328.528270287036
"Gm4849",4730.52409082299,4046.63994777114,4802.5243321422,4599.39578401851
"Pkhd1",339.185701275014,310.195396693258,203.089569643166,253.948576744864
"Il17f",114.83403052571,58.5683616134123,335.460449857016,257.724763759658
"Mcm3",12810.3740719792,15893.7179830175,11746.5556441824,13434.7293518816
"Gm20587",135.036313673751,155.097698346629,148.690577774461,139.71891954736
"Gm28065",4.25311224169296,7.59219502396086,5.43989918687053,3.77618701479352
"6720483E21Rik",4.25311224169296,6.50759573482359,7.25319891582737,16.0487948128725
"Paqr8",299.844413039354,312.364595271532,293.754556091008,438.981740469747
"Efhc1",99.9481376797846,48.8069680111769,197.649670456296,138.774872793662
"Tram2",695.383851516799,449.024105702828,567.562815163492,585.308987292995
"Gm2693",5.3163903021162,11.9305921805099,11.7864482382195,10.3845142906822
"Tmem14a",59.5435713837014,93.2755388658048,70.7186894293168,86.8523013402509
"Gm38224",5.3163903021162,3.2537978674118,2.71994959343526,3.77618701479352
"Gsta3",5.3163903021162,6.50759573482359,3.62659945791368,4.7202337684919
"Gm28836",2.12655612084648,1.08459928913727,0,4.7202337684919
"Gm7094",14.8858928459254,5.42299644568633,19.0396471540468,5.66428052219028
"Gm4956",6.37966836253944,1.08459928913727,3.62659945791368,5.66428052219028
"Kcnq5",60.6068494441247,91.1063402875303,63.4654905134895,80.2439740643623
"Rims1",953.760420199646,292.841808067062,745.266188601262,368.178233942368
"Gm29506",0,5.42299644568633,1.81329972895684,2.83214026109514
"Gm27028",4.25311224169296,2.16919857827453,0.906649864478421,4.7202337684919
"Ogfrl1",500.803966459346,543.38424385777,534.923420042268,569.260192480123
"B3gat2",87.1888009547057,19.5227872044708,60.7455409200542,18.8809350739676
"Smap1",845.306058036476,568.330027507927,793.318631418618,729.748140608848
"Sdhaf4",324.299808429088,325.37978674118,350.873497553149,254.892623498563
"Fam135a",1934.10279190987,1622.56053654935,2059.90849209497,2191.13251533394
"Col9a1",5.3163903021162,3.2537978674118,9.06649864478421,8.49642078328542
"Col19a1",36.1514540543902,28.1995815175689,24.4795463409174,14.1607013054757
"Tubb4b-ps2",1423.72932290672,1780.91203276339,1088.88648723858,1170.61797458599
"Gm28439",33185.9715438697,32431.6879437825,31381.8717591916,32595.102264944
"Gm10222",6950.64868098672,6254.88410045461,6614.91741123456,6970.84122930883
"Gm28438",7902.28254506552,8729.93967826585,7818.9484312619,7589.19185298127
"Gm28437",68278.4006500783,67689.8416350567,68744.0060244828,62980.19107948
"Gm10925",80541.1865209396,104738.668752697,82316.5544957248,88988.6791438704
"Gm28661",74456.0461811374,84670.3281057898,65428.3874700852,70986.651597596
"Gm29216",136865.151937679,120125.878867687,132425.279205718,124286.587264653
"Lmbrd1",629.460611770558,514.100063051064,710.813493751082,625.902997702026
"Adgrb3",242.427397776499,275.488219440865,228.475765848562,267.165231296641
"Gm19028",5357.85814647271,4532.54042930463,4781.67138525919,4378.48884365308
"Gm7846",636.903558193521,685.466750734752,538.550019500182,479.575750878777
"Gm5697",718.77596884611,834.056853346557,870.383869899284,763.733823741989
"Gm5525",4366.88299415825,5395.8814634579,5003.80060205641,4639.04574767384
"Gm7858",1.06327806042324,3.2537978674118,0,0.94404675369838
"Gm6473",396.602716537868,396.963339824239,536.736719771225,465.415049573301
"Phf3",11626.9455907281,8116.05648061416,10491.7522317443,10213.6418282628
"Ptp4a1",2315.81961560182,2145.33739391351,2488.75387799327,2028.75647369782
"AC153137.1",104.201249921478,63.9913580590987,83.4117875320147,42.4821039164271
"Gm9458",40.4045662960831,31.4533793849807,29.9194455277879,11.3285610443806
"4931428L18Rik",195.643163117876,218.00445711659,158.663726283724,178.424836448994
"Gm6489",291.338188555968,365.509960439258,258.39521137635,221.850987119119
"Gm19680",658.169119401985,536.876648122946,870.383869899284,686.321989938722
"Gm7910",153.112040700947,100.867733889766,133.277530078328,104.78918966052
"Khdrbs2",49.9740688398923,54.2299644568633,44.4258433594426,66.0832727588866
"Gm37724",6.37966836253944,5.42299644568633,6.34654905134895,7.55237402958704
"Gm7114",415.741721625487,386.117346932866,471.457929528779,434.261506701255
"Gm4785",172.251045788565,220.173655694865,184.956572353598,170.872462419407
"Gm7933",346.628647697976,565.076229640515,358.126696468976,447.478161253032
"Prim2",2059.56960303982,1595.44555432092,2077.13483952006,2083.51118541232
"1700001G17Rik",2.12655612084648,2.16919857827453,4.5332493223921,2.83214026109514
"Rab23",1483.27289429042,1665.94450811484,1311.92235390028,1692.67582938119
"Bag2",177.567436090681,183.297279864198,172.2634742509,179.368883202692
"Zfp451",3752.30827523361,3508.67870035905,3411.7234400323,3588.32171080754
"Gm15455",1148.3403052571,1133.40625714844,976.461904043259,960.095548511252
"Bend6",129.719923371635,72.6681523721968,113.331233059803,99.1249091383299
"Dst",23420.8258369427,9887.20711977531,22496.7030873031,18433.4569127146
"Gm37385",5.3163903021162,1.08459928913727,3.62659945791368,0
"Gm3052",5.3163903021162,5.42299644568633,8.15984878030579,7.55237402958704
"Gm37233",27.6452295710042,16.268989337059,26.2928460698742,26.4333091035546
"Ccdc115",804.901491740393,1069.41489908934,746.17283846574,683.489849677627
"Gm28306",5.3163903021162,5.42299644568633,2.71994959343526,2.83214026109514
"Imp4",2266.90882482235,2824.29654891344,2330.09015170954,2182.63609455065
"Ptpn18",71.2396300483571,66.1605566373732,75.2519387517089,89.6844416013461
"4930568A12Rik",5.3163903021162,4.33839715654906,15.4130476961332,14.1607013054757
"Prss39",2.12655612084648,7.59219502396086,12.6930981026979,12.2726077980789
"Cfc1",8.50622448338592,4.33839715654906,9.06649864478421,1.88809350739676
"Prss40",14.8858928459254,2.16919857827453,18.1329972895684,3.77618701479352
"Amer3",4.25311224169296,3.2537978674118,5.43989918687053,1.88809350739676
"AA619741",17.0124489667718,3.2537978674118,14.5063978316547,6.60832727588866
