"","LIF_HTKO_17","LIF_HTKO_25","LIF_TGA_20","LIF_TGA_22"
"Xkr4",188.26921737334,296.035401569556,160.374000594096,229.962436214822
"Gm37381",12.6638487022426,9.720565424672,21.1271138507192,26.3210017354315
"Rp1",25.3276974044852,30.9290718057745,41.2939043445876,20.7797382121827
"Sox17",14.3523618625416,9.720565424672,27.8493773486753,20.7797382121827
"Gm7357",2781.82543159263,843.921816414705,1785.24112038577,1403.32498726274
"Gm6085",3837.99041335966,3180.3922693995,3679.95910345255,4340.19465458457
"Gm6119",97.0895067171934,70.6950212703418,72.9845751206664,58.1832669941117
"Gm2053",49.811138228821,47.7191393574807,60.500371481605,60.953898755736
"Gm6123",2298.91066774711,2486.69737318427,3992.06419442908,3162.67615589421
"Mrpl15",6575.91450278452,5012.27700806723,5045.53891689449,3094.79567773442
"Gm37988",27.8604671449338,60.0907680797905,43.2145510582893,24.9356858546193
"Tcea1",4569.96086834929,3387.17520661525,3077.83635870705,4277.85543994802
"Gm37277",12.6638487022426,7.95318989291345,24.9684072781227,5.54126352324873
"Rgs20",82.7371448546518,239.479384553283,411.018396732174,108.05463870335
"Atp6v1h",3261.36316911755,3239.59934971341,2789.73935165179,4189.19522357604
"Gm37567",0.844256580149508,2.65106329763782,4.80161678425437,5.54126352324873
"Oprk1",16.8851316029902,95.4382787149614,41.2939043445876,23.5503699738071
"Rb1cc1",1967.11783174835,1784.16559931025,1658.47843728146,1809.22254034071
"Alkal1",94.5567369767449,75.9971478656174,65.3019882658594,85.8895846103553
"Gm19026",585.914066623759,552.304853674545,622.289535239366,694.043256286903
"St18",28.7047237250833,42.4170127622051,40.3335809877367,26.3210017354315
"Gm37108",1679.22633791737,1458.96850146668,1743.94721604119,2141.69835173563
"Gm5694",6.75405264119607,5.30212659527564,1.92064671370175,18.0091064505584
"Pcmtd1",2470.29475351746,2809.24340773021,2129.03688213839,1587.57199941076
"Gm9826",2152.85427938125,2193.31303491235,2567.90465621924,1726.10358749198
"Nras-ps2",92.8682238164459,96.3219664808407,161.334323950947,145.458167485279
"Gm26901",51.49965138912,157.296422326511,109.476862681,42.9447923051777
"Gm30414",10.9753355419436,12.3716287223098,10.5635569253596,5.54126352324873
"Gm7470",88.6469409156984,80.4155866950138,62.4210181953068,58.1832669941117
"Rps2-ps2",1.68851316029902,2.65106329763782,0.960323356850873,1.38531588081218
"Sntg1",1709.61957480275,3549.77375553704,2952.03399895958,1961.60728723005
"Gm6187",165.474289709304,256.269452104989,156.532707166692,98.3574275376649
"Gm7512",401.021875571016,339.336102097641,272.731833345648,202.256118598579
"Rrs1",2045.63369370226,2149.12864661839,3382.25886282878,2030.87308127066
"Adhfe1",49.811138228821,45.0680760598429,40.3335809877367,99.7427434184771
"2610203C22Rik",0.844256580149508,2.65106329763782,0,1.38531588081218
"Mybl1",970.895067171934,1152.32884670657,1022.74437504618,2827.42971273766
"Vcpip1",1782.22564069561,1967.97265461314,1817.8921145187,1525.23278477421
"1700034P13Rik",37.1472895265784,50.3702026551185,80.6671619754734,56.7979511132995
"Sgk3",241.457381922759,280.129021783729,170.937557519455,187.017643909645
"Mcmdc2",219.506710838872,135.204228179529,76.8258685480699,72.0364258022335
"Snhg6",878.871099935638,808.574305779534,995.855321054356,1631.90210759675
"Tcf24",205.15434897633,175.853865409975,84.5084554028769,205.026750360203
"Ppp1r42",4.22128290074754,10.6042531905513,9.60323356850873,5.54126352324873
"Cops5",2575.82682603615,2519.39382052181,2683.14345904134,3783.29767049807
"Cspp1",2187.46879916738,2429.25766840212,2403.68936219774,2046.11155595959
"Arfgef1",3012.30747797345,2594.50728062154,2433.45938626011,4211.36027766903
"Cpa6",26.1719539846348,45.9517638257222,44.1748744151402,23.5503699738071
"Gm5522",7.59830922134557,4.41843882939636,5.76194014110524,1.38531588081218
"Gm28659",13.5081052823921,18.5574430834647,18.2461437801666,22.1650540929949
"Prex2",260.875283266198,340.21978986352,343.795761752613,110.825270464975
"A830018L16Rik",1936.72459486297,3777.76519913389,3015.41534051174,2280.22993981685
"Gm7560",173.916855510799,76.8808356314967,108.516539324149,54.0273193516751
"Gm2383",100.466533037791,107.809907437271,140.207210100228,103.898691060914
"Gm17644",2.53276974044852,2.65106329763782,0.960323356850873,0
"Sulf1",538.635698135386,1530.5472105029,1702.6533116966,96.9721116568528
"Slco5a1",1425.94936387252,440.960195173757,421.581953657533,561.052931728934
"Gm5250",10.1310789617941,2.65106329763782,10.5635569253596,9.69721116568528
"Gm29283",86.1141711752498,26.5106329763782,18.2461437801666,24.9356858546193
"Prdm14",1315.35175187293,183.807055302889,284.255713627859,252.127490307817
"Ncoa2",3180.3145374232,2579.4845886016,2803.1838786477,2168.01935347107
"Gm29570",8.44256580149508,3.53475106351709,10.5635569253596,1.38531588081218
"Gm7593",5.90979606104656,2.65106329763782,5.76194014110524,4.15594764243655
"Tram1",1954.45398304611,1568.54578443571,1707.45492848085,2914.70461322883
"Lactb2",3485.09116285717,2675.80655508244,2527.5710752315,6696.61696784609
