"","gene1","gene2","correlation","pvalue"
"14160","Stip1","Fam118a",0.382500992431373,5.53056379612354e-06
"9320","Stip1","Pgm1",0.381877140460548,5.74516729074066e-06
"8613","Stip1","Gm13078",0.381687878922587,5.81181487921779e-06
"6104","Stip1","Rnf111",0.380950274889287,6.07860405157067e-06
"4569","Stip1","Btrc",0.379199085371956,6.75915039380909e-06
"20123","Stip1","Ddx56",0.379027694398346,6.82949452068521e-06
"844","Stip1","Cand1",0.378744674721073,6.9471718478407e-06
"6889","Stip1","Sema5a",0.378300333012848,7.13580048885268e-06
"4739","Stip1","Srsf5",0.377820519418327,7.3449194090169e-06
"7951","Stip1","Ebp",0.377524412223896,7.47684919272238e-06
"20262","Stip1","Impdh2",0.37717978012108,7.63321910253953e-06
"20091","Stip1","Ipo7",0.375466465511909,8.45755927443336e-06
"1391","Stip1","Bcas3",0.373697982138774,9.39621495967466e-06
"14196","Stip1","Slc43a3",0.373497304532723,9.50873536930456e-06
"13802","Stip1","Ccpg1",0.372938337424027,9.82889479856188e-06
"1238","Stip1","Ilf3",0.371954011471069,1.04175668735792e-05
"17061","Stip1","Psmd4",0.371881643111472,1.04621345956691e-05
"7039","Stip1","Slc25a13",0.369544958551342,1.20017783087711e-05
"18230","Stip1","Cct3",0.369503523648193,1.2030917122625e-05
"10796","Stip1","Abcd3",0.369271184429818,1.21955482600534e-05
"9562","Stip1","Acadvl",0.36903136228621,1.23677089806178e-05
"13051","Stip1","Gm5803",0.368914634889644,1.24523308540962e-05
"20013","Stip1","Dppa3",0.367822093915302,1.32712870489734e-05
"80","Stip1","Trp53",0.367762683822063,1.33172450417231e-05
"18520","Stip1","Ddx3x",0.367189381692643,1.37685134513531e-05
"19072","Stip1","Ttl",0.366879716675034,1.40182208554736e-05
"14571","Stip1","Mcm7",0.365919690580199,1.48197758840915e-05
"19461","Stip1","Cpsf3",0.365871096877166,1.48614753506892e-05
"15460","Stip1","1500009L16Rik",0.364637395563872,1.59579369806574e-05
"5894","Stip1","Yipf2",0.364204220926053,1.63606823317087e-05
"4224","Stip1","9430023L20Rik",0.363317519288682,1.72151448577177e-05
"2055","Stip1","Trim43b",0.363016701147018,1.75144512905126e-05
"21369","Stip1","Zmat5",0.360714406481721,1.99728952033201e-05
"10357","Stip1","Nolc1",0.360229509118852,2.0530505281329e-05
"816","Stip1","Rtn4",0.359879759389501,2.09417610431166e-05
"4389","Stip1","Tmem191c",0.359407008818513,2.1509979939649e-05
"14034","Stip1","Riok2",0.359216195278548,2.17434102837183e-05
"7876","Stip1","Ncl",0.359057628939086,2.19392023693798e-05
"4600","Stip1","Dtl",0.358722571066483,2.23583884405251e-05
"3734","Stip1","Fbxw2",0.358433108071829,2.27265863574681e-05
"12453","Stip1","Poglut1",0.358395659666316,2.27746353999797e-05
"4399","Stip1","Myo1b",0.358120904710442,2.31300996590168e-05
"18567","Stip1","Pcyt2",0.357056614245789,2.45568846540892e-05
"203","Stip1","Lgals8",0.356656846945598,2.51138815347576e-05
"2013","Stip1","Wdr18",0.356270413750975,2.56635729467299e-05
"16303","Stip1","Map1lc3b",0.356158221639041,2.58252697830053e-05
"1918","Stip1","Nub1",0.355505152808955,2.6785680658861e-05
"11014","Stip1","Ptma",0.355377916734914,2.69766608250313e-05
"4213","Stip1","Psmb6",0.35460098750676,2.81708756083037e-05
"6443","Stip1","Rnd1",0.353531383189034,2.9896407479973e-05
"11568","Stip1","Ubc",0.353340909865486,3.02139161944552e-05
"19529","Stip1","Glrx",0.352690592399263,3.13219926365125e-05
"6229","Stip1","Slc2a8",0.351997158794163,3.25455174092283e-05
"7937","Stip1","Cds1",0.350325435544188,3.5682204291139e-05
"13252","Stip1","Pold1",0.350287831579588,3.57559207361904e-05
"7154","Stip1","C230096C10Rik",0.349851351637905,3.66220924193586e-05
"5641","Stip1","Lgals9",0.347976349345021,4.05718106402143e-05
"9557","Stip1","Crot",0.347935017009426,4.06632194164033e-05
"21635","Stip1","Rrn3",0.347139630153049,4.24603335573797e-05
"13617","Stip1","Smu1",0.346642886237651,4.36201871906715e-05
"288","Stip1","Kng1",0.345487813728878,4.64330313516508e-05
"19917","Stip1","Rnf11",0.345351922249021,4.67749102109782e-05
"22078","Stip1","E130309D14Rik",0.344973730600796,4.77388340953916e-05
"10413","Stip1","Psma4",0.344342568563519,4.93890901599974e-05
"565","Stip1","Gcat",0.343495323997693,5.16884563206646e-05
"3233","Stip1","Lrp11",0.34297160555347,5.31595449076794e-05
"3723","Stip1","Stmn3",0.342847564327162,5.35136657872986e-05
"18407","Stip1","Slc12a7",0.342242345443947,5.52733946965675e-05
"11673","Stip1","Fbxo3",0.341868244924366,5.63880704765393e-05
"18303","Stip1","Picalm",0.341564803325642,5.73076323261907e-05
"6607","Stip1","R3hcc1",0.341168758976412,5.852894885304e-05
"864","Stip1","Obox6",0.341110144661669,5.87117591775286e-05
"13173","Stip1","Mier3",0.340658066949506,6.01397938412225e-05
"16156","Stip1","Mybpc2",0.340068624368831,6.20505932878704e-05
"5887","Stip1","Tet1",0.339872200499422,6.26998602714432e-05
"8001","Stip1","Rfx2",0.339601056903396,6.36065575778329e-05
"3673","Stip1","Ddah2",0.339476946106001,6.40256607198298e-05
"14475","Stip1","Hmgb3",0.339004676431043,6.56441796551303e-05
"9137","Stip1","4930583H14Rik",0.338252899142306,6.82997665239655e-05
"5486","Stip1","Zufsp",0.338248040015992,6.83172532128545e-05
"11834","Stip1","Tsr1",0.338149106854442,6.86741988403669e-05
"3996","Stip1","Ccbl2",0.337977001722289,6.92993044644304e-05
"8221","Stip1","Nup133",0.337795637931601,6.99637941695851e-05
"11273","Stip1","Ugcg",0.337673373551279,7.04151095762344e-05
"7429","Stip1","Rbpms2",0.337086466252005,7.26197157794359e-05
"21353","Stip1","1700029P11Rik",0.336506766164804,7.48604603208379e-05
"4575","Stip1","Psmd1",0.335185838591436,8.02099652686037e-05
"13869","Stip1","Cyb5",0.335166298528743,8.02917151686043e-05
"10934","Stip1","Helb",0.334713250857616,8.22091020231364e-05
"21703","Stip1","Trim43a",0.334662613829648,8.24260454056929e-05
"6588","Stip1","Xab2",0.332764791797787,9.09532940105387e-05
"12714","Stip1","Usp5",0.332313560715198,9.30985332743356e-05
"17277","Stip1","Rbbp7",0.331706020302042,9.60615630551402e-05
"3747","Stip1","Tbrg4",0.331309962106822,9.80403169362248e-05
"6984","Stip1","Atg14",0.331093286654395,9.91388852154719e-05
"1688","Stip1","Epha4",0.330862235423552,0.000100322988372171
"9944","Stip1","Psrc1",0.330734002489247,0.000100985844071022
"17852","Stip1","Supt16h",0.329992871597389,0.000104897610299667
"3688","Stip1","Fblim1",0.329788428141746,0.000106001296420296
"21208","Stip1","Mcm5",0.329594916733603,0.000107055935274266
"6227","Stip1","Bzw1",0.329130857874582,0.000109625066216217
"4845","Stip1","Dcaf4",0.328896545413648,0.000110944006040287
"22306","Stip1","Baz2b",0.328870294956067,0.000111092687463977
"9739","Stip1","Dnttip2",0.32851275124166,0.000113136386456065
"10339","Stip1","Arl1",0.328272053752597,0.000114531882406614
"17904","Stip1","Mesdc2",0.328160038846817,0.000115186769892281
"2785","Stip1","Zmym1",0.328111672589961,0.000115470617529987
"2135","Stip1","Eif4ebp1",0.327898331208519,0.000116730455442569
"22582","Stip1","Gm12504",0.327072935537029,0.000121726307170999
"12474","Stip1","Map4k1",0.327020989379688,0.000122047291007715
"3972","Stip1","Pttg1",0.325888815034591,0.000129242178176925
"15784","Stip1","Sdad1",0.325784172158947,0.000129926748281189
"22022","Stip1","Pdp2",0.325138255099064,0.000134227642690978
"12917","Stip1","Trim28",0.324459121397015,0.000138892445334438
"15738","Stip1","Bcat1",0.324356546946137,0.000139609984818306
"22115","Stip1","AI597468",0.324213682531306,0.000140615116957345
"21254","Stip1","Cct6a",0.324146686742223,0.000141088787057209
"2727","Stip1","Eftud1",0.324022537987817,0.000141970466030986
"22252","Stip1","Ddx49",0.323818011828394,0.000143434161933874
"3738","Stip1","Rlim",0.323606112275855,0.000144965432380854
"21000","Stip1","Cct5",0.322850374149841,0.000150551479016371
"21030","Stip1","Hsp90ab1",0.322705066363861,0.000151648221263719
"12723","Stip1","Hiat1",0.322087184406112,0.000156395355655018
"19794","Stip1","Acacb",0.321979222497617,0.000157238872343224
"3434","Stip1","Nop58",0.321825471221238,0.00015844745301881
"13640","Stip1","Atp13a3",0.321792870593819,0.000158704822083198
"4364","Stip1","Grwd1",0.321368737835882,0.00016208881483725
"17090","Stip1","Gstp2",0.321275133209825,0.000162844634247356
"11189","Stip1","Prpf4",0.321221263003153,0.000163281099007973
"21490","Stip1","Prdx6-ps1",0.321206276135043,0.000163402718231022
"6467","Stip1","Med22",0.321158164410887,0.000163793716978176
"2134","Stip1","Cela2a",0.320626245033621,0.000168174943492166
"13163","Stip1","Wars2",0.320143603908389,0.000172244331738573
"7183","Stip1","Ppic",0.320080456864315,0.000172783476582782
"16401","Stip1","Ctsb",0.319990376965201,0.00017355528781153
"333","Stip1","Azin1",0.319815477474405,0.000175062999926695
"20093","Stip1","AI314976",0.319660670004478,0.000176407658092137
"20285","Stip1","Smyd5",0.319364652592248,0.000179005634066977
"1518","Stip1","Upp1",0.319101041182973,0.000181349089488785
"258","Stip1","Trip13",0.319065827477652,0.000181664282375976
"19861","Stip1","Aco1",0.318523115933284,0.000186586852070558
"6549","Stip1","Cct7",0.318440921525337,0.00018734309810509
"3355","Stip1","Pelp1",0.318427305454438,0.000187468650085734
"13356","Stip1","Psmd11",0.317637653335244,0.000194885108863466
"8760","Stip1","Helz",0.317268754106807,0.000198442417077148
"22230","Stip1","Nlrp4e",0.316396855422804,0.000207091235134677
"19094","Stip1","Creg1",0.315819578322132,0.000213008720351478
"2684","Stip1","Pop7",0.315463019353628,0.000216741702049969
"5810","Stip1","Tcfcp2l1",0.315199276849993,0.00021954191102571
"15913","Stip1","Gss",0.314585529169048,0.00022618866972108
"20238","Stip1","Eef2",0.314052095263117,0.000232116801889544
"14553","Stip1","Gm13083",0.313268328067929,0.000241088771600901
"8754","Stip1","H2-K2",0.312941856779945,0.000244919985427613
"19343","Stip1","Uck2",0.312879346431157,0.000245659967061593
"4719","Stip1","Atp5s",0.312603441714446,0.000248950889926474
"14559","Stip1","Pramef6",0.312449373199237,0.000250806318075944
"6698","Stip1","Naa16",0.312190646195285,0.000253951000603774
"18839","Stip1","Pbk",0.312173768293979,0.000254157406635542
"18593","Stip1","1500010J02Rik",0.312171697635247,0.000254182740185547
"14634","Stip1","Eed",0.311835940236429,0.000258321677777779
"20742","Stip1","Nqo1",0.311790299653295,0.000258889094737107
"2293","Stip1","Rad1",0.311353906749217,0.000264373083431415
"16005","Stip1","Acat2",0.311176778942895,0.000266629541271666
"13512","Stip1","Elp3",0.311130585264358,0.000267220936305131
"10811","Stip1","Prpf31",0.310968626717177,0.000269304026698872
"6712","Stip1","Rad21",0.310934150370168,0.000269749394897916
"10954","Stip1","Myef2",0.310667751417649,0.00027321383573345
"14275","Stip1","Shmt1",0.310595899177901,0.000274155286212372
"10049","Stip1","4930548H24Rik",0.310374163033496,0.000277079584975128
"1184","Stip1","Nr5a2",0.310353207853456,0.000277357435012714
"8128","Stip1","Csrnp2",0.309948246088181,0.000282777871381327
"9793","Stip1","Fbxo15",0.309911956464899,0.000283268369311072
"11304","Stip1","Mboat1",0.309340152495454,0.000291101749722784
"10290","Stip1","Supt5h",0.309002165225075,0.000295825808590869
"865","Stip1","Gldc",0.308726506973297,0.000299731135119205
"22107","Stip1","Smg1",0.308108651789752,0.000308658455944035
"8553","Stip1","Gabpa",0.307913707210334,0.000311525858923232
"4979","Stip1","Rrp1b",0.30789521570598,0.000311799123122389
"5942","Stip1","Clpp",0.307620080105079,0.00031589132119996
"16943","Stip1","Poll",0.307194896243672,0.00032231308607199
"9155","Stip1","Ndrg3",0.30714707279556,0.000323042894663946
"2942","Stip1","Rnf4",0.307021256969212,0.000324970212047103
"3144","Stip1","Tdgf1",0.306603575790644,0.000331445022430596
"11972","Stip1","Uba1",0.306580829013035,0.000331801041551529
"9822","Stip1","Lig1",0.306555783472921,0.000332193448657844
"17401","Stip1","Uba2",0.306247265601311,0.000337062567363114
"1206","Stip1","Kng2",0.306127446310092,0.0003389713207758
"11892","Stip1","Mbtd1",0.306116473459324,0.000339146619917845
"15212","Stip1","Serpinb1a",0.30602391582883,0.000340628633860799
"4293","Stip1","Ccbl1",0.305915474245482,0.00034237259599591
"3112","Stip1","Gjb4",0.30574773101851,0.000345086519598974
"16616","Stip1","Farsb",0.305569399297177,0.000347993559224547
"15942","Stip1","Cyb5r1",0.30510145748544,0.00035572961930334
"9757","Stip1","Arl4a",0.304769346426683,0.000361316230205593
"4857","Stip1","Htatip2",0.304640317192488,0.000363508485563679
"13266","Stip1","Eif2s2",0.304409032713788,0.000367468890710763
"15152","Stip1","Gfpt1",0.304271351850917,0.000369845367000533
"21646","Stip1","Gm14316",0.304255197440511,0.000370125133409317
"18131","Stip1","Deptor",0.303954068947977,0.00037537608775791
"19491","Stip1","Nme4",0.303462643222862,0.000384093397625109
"11659","Stip1","Pdhx",0.302863760068256,0.00039496960550216
"185","Stip1","Gdf3",0.302622189216162,0.000399436687281373
"15143","Stip1","Ubxn8",0.302585658647942,0.000400116250305212
"10777","Stip1","Slc37a3",0.302509657420012,0.000401533492159794
"13629","Stip1","Cdk5rap3",0.302229316250149,0.000406801368188671
"13469","Stip1","Carm1",0.302169034007413,0.000407942432470932
"4082","Stip1","Ccdc43",0.301792597308487,0.000415134993063684
"19391","Stip1","2810004N23Rik",0.301382079796227,0.000423112059541255
"17901","Stip1","Tbx15",0.301356366407836,0.000423616393333053
"17598","Stip1","Sh3bgrl3",0.301178453204487,0.000427121152756307
"21211","Stip1","Mcm3",0.301162720719294,0.000427432355488247
"11309","Stip1","Dpp4",0.300659319384914,0.000437501254779038
"17316","Stip1","Snw1",0.300473122216702,0.000441280640435248
"17227","Stip1","Phtf2",0.300001208972923,0.000450994752459972
"13116","Stip1","BC028528",0.299800507466121,0.000455185575026344
"9492","Stip1","Tsr2",0.299549175850045,0.000460484250298195
"716","Stip1","Ypel5",0.299507662359448,0.000461364909058236
"22175","Stip1","Dkc1",0.299278006863885,0.000466264902912946
"9840","Stip1","Blmh",0.298983111429077,0.000472627252955868
"10277","Stip1","Tbx20",0.298926274846411,0.000473862661913937
"16322","Stip1","Stk16",0.298920625064749,0.00047398562902253
"12289","Stip1","2900097C17Rik",0.298744501648845,0.000477833729644212
"371","Stip1","Ceacam2",0.298471994125398,0.000483844510895917
"2726","Stip1","Acad11",0.298273141273686,0.000488274574010486
"15813","Stip1","Matr3",0.298213625392627,0.00048960772633671
"4874","Stip1","Sharpin",0.298161518982295,0.000490777660727136
"7534","Stip1","1700061G19Rik",0.298049498253062,0.000493301568645901
"6043","Stip1","Ccdc93",0.297692747927835,0.000501419345211952
"2409","Stip1","Trim43c",0.297588583682336,0.000503812696012315
"7861","Stip1","Gpbp1",0.297418999446142,0.000507731713739477
"12843","Stip1","Sqstm1",0.297297665344876,0.000510552909863053
"19807","Stip1","Zfp960",0.29728342537441,0.000510884955452823
"22046","Stip1","Znfx1",0.296954405373099,0.000518612627405606
"20855","Stip1","Ceacam10",0.296368529608144,0.000532640211399188
"7558","Stip1","Hagh",0.296351937567823,0.000533042514727374
"2170","Stip1","Chmp4c",0.296349360686698,0.000533105020864463
"4969","Stip1","Mtch2",0.295095871562538,0.000564323395399408
"7410","Stip1","Ulk1",0.294548787953981,0.000578469026251781
"9545","Stip1","Tkt",0.294066680721039,0.000591204333473002
"6837","Stip1","Nol11",0.293759733535171,0.000599446508089731
"8068","Stip1","Eif1ax",0.29357354129949,0.000604497536172943
"4171","Stip1","Hnf4a",0.29340302646164,0.000609157583808615
"12713","Stip1","2210021J22Rik",0.293300058420231,0.000611987605108909
"3827","Stip1","Klf2",0.292576301010345,0.000632223458696819
"683","Stip1","Larp4",0.29255048164584,0.000632956591389327
"8168","Stip1","Snrpa1",0.292448876349677,0.000635849239039216
"4565","Stip1","Hmga2",0.29229550619794,0.000640238631514553
"9430","Stip1","Eif3a",0.291934770940898,0.000650672773775645
"6929","Stip1","Dscc1",0.291565710893311,0.000661509281479884
"584","Stip1","Etv2",0.29155220603481,0.000661908945141701
"10508","Stip1","Prmt7",0.291417883876336,0.000665896182327313
"4061","Stip1","Wdr83",0.290744454364388,0.000686221171821488
"16825","Stip1","Sik1",0.290519006695148,0.000693151810682872
"15937","Stip1","Rpn2",0.29046487159423,0.000694825560646657
"7289","Stip1","Cenpm",0.289501463350227,0.000725240073903329
"18713","Stip1","Shq1",0.289420994660002,0.000727834972943685
