cell	flows
GSM1112654_late2cell_5-1	1.4662848975403857
t	0.8623712673109664
GSM1112702_mid2cell_6-1	0.3189383715699506
GSM1112603_early2cell_0r-1	0.1025641025641026
GSM1112507_16cell_4-2	0.7235360727193759
GSM1112648_earlyblast_4-2	0.266666666666666
GSM1112719_midblast_1-22	0.35925035843366177
GSM1112689_lateblast_2-3	0.1212121212121212
GSM1112668_lateblast_1-16	1.724742534621933
s	0.8623712673109664
GSM1112606_early2cell_1-2	0.1111111111111112
GSM1112604_early2cell_0r-2	0.1052631578947368
GSM1112691_lateblast_2-7	0.1333333333333334
GSM1112722_midblast_1-3	0.1142857142857142
GSM1112759_midblast_3-3	0.1142857142857142
GSM1112763_midblast_3-7	0.4179793324954618
GSM1112669_lateblast_1-19	0.4179793324954618
GSM1112662_late2cell_9-1	1.1209773576134372
GSM1112551_4cell_4-2	0.633874239350913
GSM1112562_8cell_2-2	1.4058041630519824
GSM1112581_8cell_8-8	0.3552631578947368
GSM1112579_8cell_8-6	0.1052631578947368
GSM1112577_8cell_8-3	0.3719298245614036
GSM1112622_earlyblast_2-5	0.03169993950393217
GSM1112680_lateblast_1-7	0.03169993950393217
GSM1112681_lateblast_1-8	0.03169993950393217
GSM1112541_4cell_1-2	0.11168651599315835
GSM1112573_8cell_5-7	0.5336299592139414
GSM1112569_8cell_5-2	0.5336299592139414
GSM1112535_16cell_6-5	0.33578049684834993
GSM1112522_16cell_5-4	0.19784946236559137
GSM1112650_earlyblast_4-5	0.09258369176699574
GSM1112688_lateblast_2-2	0.10470490388820716
GSM1112692_lateblast_2-8	0.10470490388820716
GSM1112503_16cell_1-9	0.25
GSM1112560_8cell_1-8	0.25
GSM1112529_16cell_6-10	0.1875
GSM1112746_midblast_2-8	0.4377443792766374
GSM1112715_midblast_1-18	0.0716729507052094
GSM1112756_midblast_3-18	0.0716729507052094
GSM1112745_midblast_2-7	0.25
GSM1112708_midblast_1-11	0.25
GSM1112552_4cell_4-3	0.633874239350913
GSM1112505_16cell_4-10	0.1978494623655914
GSM1112575_8cell_8-1	0.1333333333333334
GSM1112676_lateblast_1-27	0.1333333333333334
GSM1112664_lateblast_1-10	0.689655172413794
GSM1112693_lateblast_2-9	0.8978335716934156
GSM1112747_midblast_2-9	0.42857142857142805
GSM1112683_lateblast_2-1	0.07914614121510544
GSM1112578_8cell_8-4	0.1333333333333334
GSM1112665_lateblast_1-11	0.3063218390804606
GSM1112687_lateblast_2-17	0.129032258064516
GSM1112690_lateblast_2-5	0.129032258064516
GSM1112574_8cell_5-8	0.2502443792766374
GSM1112506_16cell_4-11	0.1290322580645162
GSM1112752_midblast_3-13	0.25
GSM1112495_16cell_1-15	0.1212121212121212
GSM1112539_16cell_6-9	0.1212121212121212
